customer_ID,risk_score,State,Region,Number_Of_Dependents,marital_status,Gender,Age,Age Group,Fund,Total_Asset,No of qtns,GENERAL_SAVING_ASSET,HOME_OWNERSHIP_ASSET,FAMILY_PLANNING_ASSET,RETIREMENT_ASSET,UNKNOWN_ASSET
1,2.5,Kentucky,South,0,Married,Male,65,55+,Pre-Retirees,3715898.04,6,115790.19,797831.05,895085.94,1115144.91,792045.95
4,2.36,Oregon,West,0,Married,Female,65,55+,Pre-Retirees,12741881.25,6,2162567.72,1764179.54,4254742.81,4363542.14,196849.04
5,2.36,Washington,West,0,Married,Female,65,55+,Pre-Retirees,8836556.78,6,1366449.55,1076692.59,3051136.3,3260135.92,82142.42
6,2.36,Indiana,Midwest,0,Married,Female,65,55+,Pre-Retirees,8818253.12,6,2185829.94,1453656.11,3371881.22,1609654.18,197231.67
7,2.36,Colorado,West,0,Married,Female,65,55+,Pre-Retirees,12594318.23,6,1261115.48,934872.87,4976282.56,4176491.9,1245555.42
8,2.36,Massachusetts,Northeast,0,Married,Female,65,55+,Pre-Retirees,8972242.16,6,1259463.63,672311.58,2596560.97,4198395.8,245510.18
9,2.36,Pennsylvania,Northeast,0,Married,Female,65,55+,Pre-Retirees,6891288.21,6,548881.63,1455030.91,853895.95,2381561.4,1651918.32
11,2.36,Pennsylvania,Northeast,0,Married,Female,65,55+,Pre-Retirees,15315636.01,6,2591176.72,1243977.88,3127094.94,7218634.92,1134751.55
12,2.36,Washington,West,0,Married,Female,65,55+,Pre-Retirees,6102185.73,6,833758.85,579802.39,3685989.15,544657.65,457977.69
14,2.52,Maryland,Northeast,0,Married,Male,65,55+,Pre-Retirees,7437944.47,7,1084748.87,1014756.04,194551.72,4266918.99,876968.85
16,3.33,Illinois,Midwest,0,Divorced,Male,65,55+,Second Chance Retirees,2065616.89,5,653515.3,377340.65,692302.1,40769.04,301689.8
17,4.17,Kentucky,South,0,Single,Male,65,55+,Second Chance Retirees,3577264.06,8,45985.68,321395.54,1700797.18,920130.31,588955.35
18,2.96,Louisiana,South,0,Divorced,Male,65,55+,Second Chance Retirees,3531439.96,7,854837.15,239851.04,1242849.04,824304.62,369598.11
19,2.96,Connecticut,Northeast,0,Single,Male,65,55+,Second Chance Retirees,1538192.07,6,64424.88,551547.83,133721.73,714863.26,73634.37
20,2.72,Pennsylvania,Northeast,0,Married,Male,65,55+,Pre-Retirees,10692502.7,8,1386127.64,528403.95,3450486.87,4854999.05,472485.19
